Вольноулановское,10.100.1.146,2284
Уральская3,10.30.200.251,2286
Шевченко277,10.30.200.41,2285
Жук32,10.30.200.190,2288
Севастопольская20,10.100.1.99,2288
Вишневая,10.30.200.219,2286
Пищевая17,10.30.200.180,2288
Панферова120,10.30.200.250,2287
Вольнянск,172.17.112.72,2283
Матвеевка,172.17.119.160,2284
Нагорное,172.17.14.250,2283
Военстрой91,172.17.41.2,2282
Камышиваха,10.101.0.20,2293
Дружелюбовка,10.100.1.247,2280
Приморское,10.101.0.3,2292
ПриморскоеКлуб,10.101.0.100,2292
Таврийское,10.101.0.40,2293
Малоекатериновка,10.101.0.50,2292
